iter	Passed	Remaining
0	3	3908
1	6	3460
2	9	3299
3	12	3180
4	15	2995
5	17	2883
6	19	2799
7	22	2733
8	23	2625
9	25	2536
10	27	2464
11	29	2402
12	30	2344
13	32	2289
14	34	2234
15	35	2184
16	37	2149
17	38	2110
18	40	2078
19	41	2044
20	43	2013
21	44	1990
22	46	1963
23	47	1937
24	49	1912
25	50	1895
26	51	1872
27	53	1854
28	54	1838
29	56	1820
30	57	1803
31	59	1789
32	60	1774
33	61	1760
34	63	1746
35	64	1733
36	66	1722
37	67	1710
38	69	1702
39	70	1691
40	71	1683
41	73	1675
42	74	1667
43	76	1659
44	77	1651
45	79	1644
46	80	1641
47	82	1637
48	84	1632
49	85	1627
50	87	1623
51	88	1617
52	90	1613
53	91	1609
54	93	1604
55	94	1598
56	96	1593
57	97	1587
58	99	1582
59	100	1577
60	102	1571
61	103	1566
62	105	1561
63	106	1555
64	107	1551
65	109	1546
66	110	1541
67	112	1536
68	113	1533
69	115	1529
70	116	1524
71	117	1520
72	119	1516
73	120	1512
74	122	1509
75	123	1505
76	125	1501
77	126	1500
78	128	1496
79	129	1493
80	131	1490
81	132	1487
82	134	1483
83	135	1480
84	137	1477
85	138	1473
86	140	1470
87	141	1467
88	143	1464
89	144	1460
90	145	1457
91	147	1453
92	148	1450
93	150	1446
94	151	1444
95	153	1442
96	154	1439
97	156	1437
98	157	1434
99	159	1431
100	160	1428
101	161	1425
102	163	1422
103	164	1420
104	166	1417
105	167	1415
106	169	1412
107	170	1410
108	172	1407
109	173	1404
110	174	1401
111	176	1398
112	177	1395
113	179	1392
114	180	1391
115	182	1390
116	184	1389
117	185	1386
118	187	1385
119	188	1383
120	190	1381
121	191	1379
122	193	1377
123	194	1375
124	196	1374
125	197	1371
126	199	1369
127	200	1366
128	202	1364
129	203	1362
130	204	1359
131	206	1357
132	207	1355
133	209	1352
134	210	1350
135	212	1348
136	213	1346
137	215	1344
138	216	1342
139	218	1339
140	219	1337
141	220	1334
142	222	1333
143	224	1331
144	225	1329
145	226	1327
146	228	1324
147	229	1322
148	231	1320
149	232	1318
150	234	1316
151	235	1314
152	236	1311
153	238	1309
154	239	1307
155	241	1305
156	242	1303
157	244	1301
158	245	1299
159	247	1296
160	248	1294
161	249	1292
162	251	1290
163	252	1288
164	254	1286
165	255	1284
166	257	1282
167	258	1280
168	259	1278
169	261	1276
170	262	1274
171	264	1272
172	265	1270
173	267	1267
174	268	1266
175	269	1264
176	271	1261
177	272	1259
178	274	1257
179	275	1256
180	277	1254
181	278	1252
182	280	1250
183	281	1248
184	282	1246
185	284	1244
186	285	1242
187	287	1240
188	288	1238
189	290	1237
190	291	1235
191	293	1234
192	294	1232
193	296	1231
194	297	1229
195	299	1228
196	300	1226
197	302	1224
198	303	1222
199	305	1220
200	306	1219
201	308	1217
202	309	1215
203	311	1213
204	312	1212
205	314	1210
206	315	1208
207	316	1206
208	318	1204
209	319	1202
210	321	1201
211	322	1199
212	324	1198
213	325	1196
214	327	1194
215	328	1192
216	329	1190
217	331	1188
